Player,Season,Competition_country,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type1,Type,Goal_assist
Lionel Messi,15/16,Spain,UEFA Champions League,Group Stage,09-12-2015,A,FC Barcelona,Bayer 04 Leverkusen,LOST,CF ,20,1,Right-footed shot,Ivan Rakitic
Lionel Messi,15/16,Spain,LaLiga,Group Stage,12-12-2015,H,FC Barcelona,Deportivo de La Coruaa,LOST,RW,39,1,Direct free kick,
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,20-12-2015,H,Real Madrid,Rayo Vallecano,WON,LW,54,1,Header,James Rodriguez
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,20-12-2015,H,Real Madrid,Rayo Vallecano,WON,LW,30,1,Penalty,
Lionel Messi,15/16,Italy,FIFA Club World Cup,Final,20-12-2015,A,FC Barcelona,CA River Plate,LOST,RW,36,1,Left-footed shot,Neymar
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,30-12-2015,H,Real Madrid,Real Sociedad,WON,LW,68,1,Left-footed shot,Marcelo
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,30-12-2015,H,Real Madrid,Real Sociedad,WON,LW,42,1,Penalty,
Lionel Messi,15/16,Spain,LaLiga,Group Stage,30-12-2015,H,FC Barcelona,Real Betis Balompie,WON,RW ,33,1,Right-footed shot,Neymar
Lionel Messi,15/16,Spain,Copa del Rey,Group Stage,06-01-2016,H,FC Barcelona,RCD Espanyol Barcelona,WON,RW,44,1,Direct free kick,
Lionel Messi,15/16,Spain,Copa del Rey,Group Stage,06-01-2016,H,FC Barcelona,RCD Espanyol Barcelona,WON,RW,13,1,Left-footed shot,Andres Iniesta
Lionel Messi,15/16,Spain,LaLiga,Group Stage,09-01-2016,H,FC Barcelona,Granada CF,WON,RW ,8,1,Left-footed shot,Arda Turan
Lionel Messi,15/16,Spain,LaLiga,Group Stage,09-01-2016,H,FC Barcelona,Granada CF,WON,RW ,58,1,Tap-in,
Lionel Messi,15/16,Spain,LaLiga,Group Stage,09-01-2016,H,FC Barcelona,Granada CF,WON,RW ,14,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,17-01-2016,H,Real Madrid,Sporting GijÃ³n,WON,LW,18,1,Left-footed shot,Daniel Carvajal
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,17-01-2016,H,Real Madrid,Sporting GijÃ³n,WON,LW,9,1,Left-footed shot,Karim Benzema
Lionel Messi,15/16,Spain,LaLiga,Group Stage,17-01-2016,H,FC Barcelona,Athletic Bilbao,WON,RW,7,1,Penalty,
Lionel Messi,15/16,Spain,LaLiga,Group Stage,23-01-2016,A,FC Barcelona,Malaga CF,LOST,RW,51,1,Left-footed shot,Adriano
Lionel Messi,15/16,Spain,LaLiga,Group Stage,30-01-2016,H,FC Barcelona,Atletico de Madrid,WON,RW,30,1,Left-footed shot,Jordi Alba
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,31-01-2016,H,Real Madrid,RCD Espanyol Barcelona,WON,LW,82,1,Header,Jese
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,31-01-2016,H,Real Madrid,RCD Espanyol Barcelona,WON,LW,12,1,Penalty,
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,31-01-2016,H,Real Madrid,RCD Espanyol Barcelona,WON,LW,45,1,Left-footed shot,
Lionel Messi,15/16,Spain,Copa del Rey,Semi-Finals,03-02-2016,H,FC Barcelona,Valencia CF,WON,RW,59,1,Left-footed shot,Luis Suarez
Lionel Messi,15/16,Spain,Copa del Rey,Semi-Finals,03-02-2016,H,FC Barcelona,Valencia CF,WON,RW,74,1,Left-footed shot,
Lionel Messi,15/16,Spain,Copa del Rey,Semi-Finals,03-02-2016,H,FC Barcelona,Valencia CF,WON,RW,29,1,Left-footed shot,Neymar
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,13-02-2016,H,Real Madrid,Athletic Bilbao,WON,LW,87,1,Right-footed shot,Lucas Vazquez
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,13-02-2016,H,Real Madrid,Athletic Bilbao,WON,LW,3,1,Right-footed shot,Karim Benzema
Lionel Messi,15/16,Spain,LaLiga,Group Stage,14-02-2016,H,FC Barcelona,Celta de Vigo,WON,RW,28,1,Direct free kick,
Lionel Messi,15/16,Spain,LaLiga,Group Stage,17-02-2016,A,FC Barcelona,Sporting GijÃ³n,LOST,RW ,25,1,Left-footed shot,Luis Suarez
Lionel Messi,15/16,Spain,LaLiga,Group Stage,17-02-2016,A,FC Barcelona,Sporting GijÃ³n,LOST,RW ,31,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,17-02-2016,A,Real Madrid,AS Roma,LOST,LW,57,1,Right-footed shot,Marcelo
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,21-02-2016,A,Real Madrid,Malaga CF,LOST,LW,33,1,Header,Toni Kroos
Lionel Messi,15/16,Spain,UEFA Champions League,Group Stage,23-02-2016,A,FC Barcelona,Arsenal FC,LOST,RW,71,1,Left-footed shot,Neymar
Lionel Messi,15/16,Spain,UEFA Champions League,Group Stage,23-02-2016,A,FC Barcelona,Arsenal FC,LOST,RW,83,1,Penalty,
Lionel Messi,15/16,Spain,LaLiga,Group Stage,28-02-2016,H,FC Barcelona,Sevilla FC,WON,RW ,31,1,Direct free kick,
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,02-03-2016,A,Real Madrid,Levante UD,LOST,LW,34,1,Penalty,
Lionel Messi,15/16,Spain,LaLiga,Group Stage,03-03-2016,A,FC Barcelona,Rayo Vallecano,LOST,RW,72,1,Left-footed shot,Sergio Busquets
Lionel Messi,15/16,Spain,LaLiga,Group Stage,03-03-2016,A,FC Barcelona,Rayo Vallecano,LOST,RW,53,1,Left-footed shot,
Lionel Messi,15/16,Spain,LaLiga,Group Stage,03-03-2016,A,FC Barcelona,Rayo Vallecano,LOST,RW,23,1,Left-footed shot,Neymar
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,05-03-2016,H,Real Madrid,Celta de Vigo,WON,LW,50,1,Long distance kick,Sergio Ramos
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,05-03-2016,H,Real Madrid,Celta de Vigo,WON,LW,58,1,Direct free kick,
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,05-03-2016,H,Real Madrid,Celta de Vigo,WON,LW,64,1,Right-footed shot,Isco
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,05-03-2016,H,Real Madrid,Celta de Vigo,WON,LW,76,1,Header,Jese
Lionel Messi,15/16,Spain,LaLiga,Group Stage,06-03-2016,A,FC Barcelona,SD Eibar,LOST,RW ,42,1,Left-footed shot,Munir El Haddadi
Lionel Messi,15/16,Spain,LaLiga,Group Stage,06-03-2016,A,FC Barcelona,SD Eibar,LOST,RW ,76,1,Penalty,
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Group Stage,08-03-2016,H,Real Madrid,AS Roma,WON,CF,64,1,Right-footed shot,Lucas Vazquez
Lionel Messi,15/16,Spain,LaLiga,Group Stage,12-03-2016,H,FC Barcelona,Getafe CF,WON,CF,41,1,Left-footed shot,Arda Turan
Lionel Messi,15/16,Spain,UEFA Champions League,Group Stage,16-03-2016,H,FC Barcelona,Arsenal FC,WON,RW,86,1,Left-footed shot,Neymar
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,20-03-2016,H,Real Madrid,Sevilla FC,WON,LW,64,1,Left-footed shot,Danilo
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,02-04-2016,A,Real Madrid,FC Barcelona,LOST,LW,85,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,09-04-2016,H,Real Madrid,SD Eibar,WON,CF,19,1,Right-footed shot,Jese
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Quarter-Finals,12-04-2016,H,Real Madrid,VfL Wolfsburg,WON,LW,17,1,Header,Toni Kroos
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Quarter-Finals,12-04-2016,H,Real Madrid,VfL Wolfsburg,WON,LW,77,1,Direct free kick,
Cristiano Ronaldo,15/16,Spain,UEFA Champions League,Quarter-Finals,12-04-2016,H,Real Madrid,VfL Wolfsburg,WON,LW,16,1,Right-footed shot,Daniel Carvajal
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,16-04-2016,A,Real Madrid,Getafe CF,LOST,LW,92,1,Left-footed shot,Jese
Lionel Messi,15/16,Spain,LaLiga,Group Stage,17-04-2016,H,FC Barcelona,Valencia CF,LOST,RW,63,1,Left-footed shot,Jordi Alba
Lionel Messi,15/16,Spain,LaLiga,Group Stage,20-04-2016,A,FC Barcelona,Deportivo de La Coruaa,LOST,RW,73,1,Left-footed shot,Luis Suarez
Lionel Messi,15/16,Spain,LaLiga,Group Stage,23-04-2016,H,FC Barcelona,Sporting GijÃ³n,WON,RW,13,1,Header,
Lionel Messi,15/16,Spain,LaLiga,Group Stage,08-05-2016,H,FC Barcelona,RCD Espanyol Barcelona,WON,RW,8,1,Direct free kick,
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,08-05-2016,H,Real Madrid,Valencia CF,WON,LW,59,1,Left-footed shot,James Rodriguez
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,08-05-2016,H,Real Madrid,Valencia CF,WON,LW,26,1,Right-footed shot,Marcelo
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,14-05-2016,A,Real Madrid,Deportivo de La CoruÃ±a,LOST,LW,25,1,Header,Toni Kroos
Cristiano Ronaldo,15/16,Spain,LaLiga,Group Stage,14-05-2016,A,Real Madrid,Deportivo de La CoruÃ±a,LOST,LW,8,1,Left-footed shot,Karim Benzema
Lionel Messi,16/17,Spain,Supercopa,Final,17-08-2016,H,FC Barcelona,Sevilla FC,WON,RW ,55,1,Header,Lucas Digne
Lionel Messi,16/17,Spain,LaLiga,Group Stage,20-08-2016,H,FC Barcelona,Real Betis Balompie,WON,RW ,58,1,Left-footed shot,Arda Turan
Lionel Messi,16/17,Spain,LaLiga,Group Stage,20-08-2016,H,FC Barcelona,Real Betis Balompie,WON,RW ,37,1,Left-footed shot,Sergi Roberto
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,10-09-2016,H,Real Madrid,CA Osasuna,WON,LW,6,1,Right-footed shot,Gareth Bale
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,13-09-2016,H,FC Barcelona,Celtic FC,WON,RW ,27,1,Left-footed shot,Neymar
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,13-09-2016,H,FC Barcelona,Celtic FC,WON,RW ,3,1,Left-footed shot,Neymar
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,13-09-2016,H,FC Barcelona,Celtic FC,WON,RW ,60,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Group Stage,14-09-2016,H,Real Madrid,Sporting CP,WON,LW,89,1,Direct free kick,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,17-09-2016,A,FC Barcelona,CD Leganes,LOST,RW,15,1,Left-footed shot,Luis Suarez
Lionel Messi,16/17,Spain,LaLiga,Group Stage,17-09-2016,A,FC Barcelona,CD Leganes,LOST,RW,55,1,Penalty,
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Group Stage,27-09-2016,A,Real Madrid,Borussia Dortmund,LOST,LW,17,1,Right-footed shot,Gareth Bale
Lionel Messi,16/17,Spain,LaLiga,Group Stage,15-10-2016,H,FC Barcelona,Deportivo de La Coruaa,WON,RW,58,1,Left-footed shot,Neymar
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,15-10-2016,A,Real Madrid,Real Betis Balompie,LOST,LW,78,1,Right-footed shot,alvaro Morata
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,19-10-2016,H,FC Barcelona,Manchester City,WON,RW,69,1,Left-footed shot,Luis Suarez
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,19-10-2016,H,FC Barcelona,Manchester City,WON,RW,61,1,Left-footed shot,Andres Iniesta
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,19-10-2016,H,FC Barcelona,Manchester City,WON,RW,17,1,Left-footed shot,Andres Iniesta
Lionel Messi,16/17,Spain,LaLiga,Group Stage,22-10-2016,A,FC Barcelona,Valencia CF,LOST,RW,94,1,Penalty,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,22-10-2016,A,FC Barcelona,Valencia CF,LOST,RW,22,1,Left-footed shot,Ivan Rakitic
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,29-10-2016,A,Real Madrid,Deportivo Alaves,LOST,LW,17,1,Penalty,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,29-10-2016,A,Real Madrid,Deportivo Alaves,LOST,LW,33,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,29-10-2016,A,Real Madrid,Deportivo Alaves,LOST,LW,88,1,Right-footed shot,Marcelo
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,01-11-2016,A,FC Barcelona,Manchester City,WON,RW ,21,1,Left-footed shot,Neymar
Lionel Messi,16/17,Spain,LaLiga,Group Stage,06-11-2016,A,FC Barcelona,Sevilla FC,LOST,RW ,43,1,Left-footed shot,Neymar
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,19-11-2016,A,Real Madrid,Atletico de Madrid,LOST,CF,77,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,19-11-2016,A,Real Madrid,Atletico de Madrid,LOST,CF,71,1,Penalty,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,19-11-2016,A,Real Madrid,Atletico de Madrid,LOST,CF,23,1,Direct free kick,
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,23-11-2016,A,FC Barcelona,Celtic FC,LOST,RW ,24,1,Left-footed shot,Neymar
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,23-11-2016,A,FC Barcelona,Celtic FC,LOST,RW ,55,1,Penalty,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,26-11-2016,H,Real Madrid,Sporting GijÃ³n,WON,LW,5,1,Penalty,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,26-11-2016,H,Real Madrid,Sporting GijÃ³n,WON,LW,18,1,Header,Nacho Fernandez
Lionel Messi,16/17,Spain,LaLiga,Group Stage,27-11-2016,A,FC Barcelona,Real Sociedad,LOST,RW ,59,1,Left-footed shot,Neymar
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,06-12-2016,H,FC Barcelona,Borussia MÃ¶nchengladbach,WON,RW,16,1,Left-footed shot,Arda Turan
Lionel Messi,16/17,Spain,LaLiga,Group Stage,10-12-2016,A,FC Barcelona,CA Osasuna,LOST,RW,72,1,Left-footed shot,Jordi Alba
Lionel Messi,16/17,Spain,LaLiga,Group Stage,10-12-2016,A,FC Barcelona,CA Osasuna,LOST,RW,92,1,Left-footed shot,Sergio Busquets
Cristiano Ronaldo,16/17,Italy,FIFA Club World Cup,Semi-Finals,15-12-2016,A,Real Madrid,CF America,LOST,LW,93,1,Right-footed shot,James Rodriguez
Cristiano Ronaldo,16/17,Italy,FIFA Club World Cup,Final,18-12-2016,H,Real Madrid,Kashima Antlers,LOST,LW,104,1,Left-footed shot,Toni Kroos
Cristiano Ronaldo,16/17,Italy,FIFA Club World Cup,Final,18-12-2016,H,Real Madrid,Kashima Antlers,LOST,LW,60,1,Penalty,
Cristiano Ronaldo,16/17,Italy,FIFA Club World Cup,Final,18-12-2016,H,Real Madrid,Kashima Antlers,LOST,LW,97,1,Left-footed shot,Karim Benzema
Lionel Messi,16/17,Spain,LaLiga,Group Stage,18-12-2016,H,FC Barcelona,RCD Espanyol Barcelona,WON,RW,90,1,Left-footed shot,Luis Suarez
Lionel Messi,16/17,Spain,Copa del Rey,Group Stage,05-01-2017,A,FC Barcelona,Athletic Bilbao,WON,RW,52,1,Direct free kick,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,07-01-2017,H,Real Madrid,Granada CF,WON,LW,27,1,Header,Marcelo
Lionel Messi,16/17,Spain,LaLiga,Group Stage,08-01-2017,A,FC Barcelona,Villarreal CF,LOST,RW,90,1,Direct free kick,
Lionel Messi,16/17,Spain,Copa del Rey,Group Stage,11-01-2017,H,FC Barcelona,Athletic Bilbao,WON,RW,78,1,Direct free kick,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,14-01-2017,H,FC Barcelona,UD Las Palmas,WON,RW ,52,1,Right-footed shot,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,15-01-2017,A,Real Madrid,Sevilla FC,WON,CF,67,1,Penalty,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,22-01-2017,A,FC Barcelona,SD Eibar,LOST,RW ,50,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,16/17,Spain,Copa del Rey,Quarter-Finals,25-01-2017,A,Real Madrid,Celta de Vigo,LOST,CF,62,1,Direct free kick,
Lionel Messi,16/17,Spain,Copa del Rey,Quarter-Finals,26-01-2017,H,FC Barcelona,Real Sociedad,WON,RW ,55,1,Penalty,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,29-01-2017,H,Real Madrid,Real Sociedad,WON,LW,51,1,Right-footed shot,Mateo Kovacic
Lionel Messi,16/17,Spain,Copa del Rey,Semi-Finals,01-02-2017,A,FC Barcelona,Atletico de Madrid,LOST,RW ,33,1,Left-footed shot,Ivan Rakitic
Lionel Messi,16/17,Spain,LaLiga,Group Stage,04-02-2017,H,FC Barcelona,Athletic Bilbao,WON,RW ,40,1,Direct free kick,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,11-02-2017,A,FC Barcelona,Deportivo Alaves,LOST,RW ,59,1,Left-footed shot,Neymar
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,11-02-2017,A,Real Madrid,CA Osasuna,LOST,CF,24,1,Right-footed shot,Karim Benzema
Lionel Messi,16/17,Spain,LaLiga,Group Stage,19-02-2017,H,FC Barcelona,CD Leganes,WON,RW,4,1,Right-footed shot,Luis Suarez
Lionel Messi,16/17,Spain,LaLiga,Group Stage,19-02-2017,H,FC Barcelona,CD Leganes,WON,RW,90,1,Penalty,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,22-02-2017,A,Real Madrid,Valencia CF,WON,LW,44,1,Header,Marcelo
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,26-02-2017,A,Real Madrid,Villarreal CF,LOST,LW,74,1,Penalty,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,26-02-2017,A,FC Barcelona,Atletico de Madrid,LOST,RW,86,1,Left-footed shot,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,01-03-2017,H,Real Madrid,UD Las Palmas,LOST,LW,86,1,Penalty,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,01-03-2017,H,FC Barcelona,Sporting GijÃ³n,WON,RW ,9,1,Header,Javier Mascherano
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,01-03-2017,H,Real Madrid,UD Las Palmas,LOST,LW,89,1,Header,James Rodriguez
Lionel Messi,16/17,Spain,LaLiga,Group Stage,04-03-2017,H,FC Barcelona,Celta de Vigo,WON,AM ,64,1,Left-footed shot,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,04-03-2017,H,FC Barcelona,Celta de Vigo,WON,AM ,24,1,Left-footed shot,Sergio Busquets
Lionel Messi,16/17,Spain,UEFA Champions League,Group Stage,08-03-2017,H,FC Barcelona,Paris Saint-Germain,WON,AM,50,1,Penalty,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,12-03-2017,H,Real Madrid,Real Betis Balompie,WON,LW,41,1,Header,Marcelo
Lionel Messi,16/17,Spain,LaLiga,Group Stage,19-03-2017,H,FC Barcelona,Valencia CF,WON,AM,45,1,Penalty,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,19-03-2017,H,FC Barcelona,Valencia CF,WON,AM,53,1,Right-footed shot,Javier Mascherano
Lionel Messi,16/17,Spain,LaLiga,Group Stage,05-04-2017,H,FC Barcelona,Sevilla FC,WON,RW,33,1,Left-footed shot,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,05-04-2017,H,FC Barcelona,Sevilla FC,WON,RW,28,1,Right-footed shot,Luis Suarez
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Quarter-Finals,12-04-2017,A,Real Madrid,Bayern Munich,LOST,LW,47,1,Right-footed shot,Daniel Carvajal
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Quarter-Finals,12-04-2017,A,Real Madrid,Bayern Munich,LOST,LW,77,1,Right-footed shot,Marco Asensio
Lionel Messi,16/17,Spain,LaLiga,Group Stage,15-04-2017,H,FC Barcelona,Real Sociedad,WON,RW ,17,1,Left-footed shot,Luis Suarez
Lionel Messi,16/17,Spain,LaLiga,Group Stage,15-04-2017,H,FC Barcelona,Real Sociedad,WON,RW ,37,1,Tap-in,
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Quarter-Finals,18-04-2017,H,Real Madrid,Bayern Munich,LOST,CF,76,1,Header,Casemiro
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Quarter-Finals,18-04-2017,H,Real Madrid,Bayern Munich,LOST,CF,105,1,Left-footed shot,Sergio Ramos
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Quarter-Finals,18-04-2017,H,Real Madrid,Bayern Munich,LOST,CF,109,1,Right-footed shot,Marcelo
Lionel Messi,16/17,Spain,LaLiga,Group Stage,23-04-2017,A,FC Barcelona,Real Madrid,LOST,RW,33,1,Left-footed shot,Ivan Rakitic
Lionel Messi,16/17,Spain,LaLiga,Group Stage,23-04-2017,A,FC Barcelona,Real Madrid,LOST,RW,92,1,Left-footed shot,Jordi Alba
Lionel Messi,16/17,Spain,LaLiga,Group Stage,26-04-2017,H,FC Barcelona,CA Osasuna,WON,AM ,12,1,Left-footed shot,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,26-04-2017,H,FC Barcelona,CA Osasuna,WON,AM ,61,1,Left-footed shot,Ivan Rakitic
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,29-04-2017,H,Real Madrid,Valencia CF,WON,LW,27,1,Header,Daniel Carvajal
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Semi-Finals,02-05-2017,H,Real Madrid,Atletico de Madrid,WON,CF,86,1,Right-footed shot,Lucas Vazquez
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Semi-Finals,02-05-2017,H,Real Madrid,Atletico de Madrid,WON,CF,73,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Semi-Finals,02-05-2017,H,Real Madrid,Atletico de Madrid,WON,CF,10,1,Header,Casemiro
Lionel Messi,16/17,Spain,LaLiga,Group Stage,06-05-2017,H,FC Barcelona,Villarreal CF,WON,RW,45,1,Left-footed shot,Sergio Busquets
Lionel Messi,16/17,Spain,LaLiga,Group Stage,06-05-2017,H,FC Barcelona,Villarreal CF,WON,RW,82,1,Penalty,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,14-05-2017,H,Real Madrid,Sevilla FC,WON,LW,78,1,Left-footed shot,Toni Kroos
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,14-05-2017,H,Real Madrid,Sevilla FC,WON,LW,23,1,Right-footed shot,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,17-05-2017,A,Real Madrid,Celta de Vigo,LOST,CF,10,1,Left-footed shot,
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,17-05-2017,A,Real Madrid,Celta de Vigo,LOST,CF,48,1,Left-footed shot,Isco
Cristiano Ronaldo,16/17,Spain,LaLiga,Group Stage,21-05-2017,A,Real Madrid,Malaga CF,LOST,CF,2,1,Right-footed shot,Isco
Lionel Messi,16/17,Spain,LaLiga,Group Stage,21-05-2017,H,FC Barcelona,SD Eibar,WON,RW,75,1,Penalty,
Lionel Messi,16/17,Spain,LaLiga,Group Stage,21-05-2017,H,FC Barcelona,SD Eibar,WON,RW,92,1,Right-footed shot,
Lionel Messi,16/17,Spain,Copa del Rey,Final,27-05-2017,H,FC Barcelona,Deportivo Alaves,WON,RW,30,1,Left-footed shot,Neymar
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Final,03-06-2017,A,Real Madrid,Juventus FC,LOST,CF,20,1,Right-footed shot,Daniel Carvajal
Cristiano Ronaldo,16/17,Spain,UEFA Champions League,Final,03-06-2017,A,Real Madrid,Juventus FC,LOST,CF,64,1,Right-footed shot,Luka Modric
Cristiano Ronaldo,17/18,Spain,Supercopa,Final,13-08-2017,A,Real Madrid,FC Barcelona,LOST,CF,80,1,Right-footed shot,Isco
Lionel Messi,17/18,Spain,Supercopa,Final,13-08-2017,H,FC Barcelona,Real Madrid,LOST,RW,77,1,Penalty,
Lionel Messi,17/18,Spain,LaLiga,Group Stage,26-08-2017,A,FC Barcelona,Deportivo Alaves,LOST,CF,66,1,Left-footed shot,Paco Alcacer
Lionel Messi,17/18,Spain,LaLiga,Group Stage,26-08-2017,A,FC Barcelona,Deportivo Alaves,LOST,CF,55,1,Left-footed shot,Jordi Alba
Lionel Messi,17/18,Spain,LaLiga,Group Stage,09-09-2017,H,FC Barcelona,RCD Espanyol Barcelona,WON,CF,26,1,Left-footed shot,Ivan Rakitic
Lionel Messi,17/18,Spain,LaLiga,Group Stage,09-09-2017,H,FC Barcelona,RCD Espanyol Barcelona,WON,CF,67,1,Left-footed shot,Jordi Alba
Lionel Messi,17/18,Spain,LaLiga,Group Stage,09-09-2017,H,FC Barcelona,RCD Espanyol Barcelona,WON,CF,35,1,Right-footed shot,Jordi Alba
Lionel Messi,17/18,Spain,UEFA Champions League,Group Stage,12-09-2017,H,FC Barcelona,Juventus FC,WON,CF,69,1,Left-footed shot,
Lionel Messi,17/18,Spain,UEFA Champions League,Group Stage,12-09-2017,H,FC Barcelona,Juventus FC,WON,CF,45,1,Left-footed shot,Luis Suarez
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Group Stage,13-09-2017,H,Real Madrid,APOEL Nicosia,WON,CF,12,1,Counter attack goal,Gareth Bale
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Group Stage,13-09-2017,H,Real Madrid,APOEL Nicosia,WON,CF,51,1,Penalty,
Lionel Messi,17/18,Spain,LaLiga,Group Stage,19-09-2017,H,FC Barcelona,SD Eibar,WON,CF,59,1,Left-footed shot,Sergio Busquets
Lionel Messi,17/18,Spain,LaLiga,Group Stage,19-09-2017,H,FC Barcelona,SD Eibar,WON,CF,87,1,Left-footed shot,Aleix Vidal
Lionel Messi,17/18,Spain,LaLiga,Group Stage,19-09-2017,H,FC Barcelona,SD Eibar,WON,CF,21,1,Penalty,
Lionel Messi,17/18,Spain,LaLiga,Group Stage,19-09-2017,H,FC Barcelona,SD Eibar,WON,CF,62,1,Left-footed shot,Paulinho
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Group Stage,26-09-2017,A,Real Madrid,Borussia Dortmund,LOST,CF,79,1,Right-footed shot,Luka Modric
Cristiano Ronaldo,17/18,Spain,UEFA Champions League,Group Stage,26-09-2017,A,Real Madrid,Borussia Dortmund,LOST,CF,49,1,Left-footed shot,Gareth Bale
